Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
75,75,Jun 16,@,OAK,"W,6-3",38,34,6,8,1,1,1,6,3,0,10,0,0,1,2,0,0,1,.243,.321,.451,.772,5,11,R,T.Anderson(56),0.2508532423208191,9.0,8,3,2,1,1,10,2,0,5.34,36,135,92,0,0,0,0,35,3,0,0,0,0,1,1,3,Dana DeMuth,"M.Leake (4-60-W), A.Adams (1-H), R.Elias (3-Sv)",0.2742600224803297,0.48819782690146124,0.33915966386554625,0.8273574907670075,1.4720888355342137,5.137769507803121,0.6382733557879808,0.1919327731092437,7.711584633853541,2.293080599172724,1.7421968787515008,SEA,2019
76,76,Jun 17,,KCR,"L,4-6",40,35,4,10,1,0,1,4,4,0,12,1,0,0,0,1,0,1,.243,.322,.451,.772,9,12,L,D.Duffy(38),0.2515151515151515,9.0,9,6,6,0,1,9,2,0,5.35,37,130,83,2,1,0,0,35,1,0,0,0,1,0,0,4,Chris Guccione,"T.Scott (1-40), T.Milone (4), A.Bass (1-BL), G.Bautista (1)",0.27403846153846156,0.48779585798816566,0.3383134130146082,0.8261092710027739,1.4672786496890733,5.128421083802191,0.6382754994742377,0.19256308100929614,7.7287533313591945,2.3199072037118516,1.7456322179449215,SEA,2019
77,77,Jun 18,,KCR,"L,0-9",35,33,0,6,2,0,0,0,2,0,8,0,0,0,1,0,0,0,.242,.321,.448,.769,8,11,R,H.Bailey(73),0.2512479201331115,9.0,13,9,9,0,3,10,3,0,5.40,42,169,97,0,0,1,0,38,4,0,0,0,1,0,1,5,Mike Everitt,"Y.Kikuchi (4-28-L), M.Festa (3), C.Gearrin (4), J.Biddle (2), G.Bautista (0)",0.274981765134938,0.49051787016776077,0.3388998035363458,0.8294176737041066,1.4713617767387492,5.144157802454705,0.6373370175287109,0.19318925998690242,7.758620689655173,2.3319236393818428,1.7621274108708358,SEA,2019
78,78,Jun 19,,KCR,"W,8-2",38,32,8,10,1,0,3,8,3,0,7,2,0,1,0,1,0,0,.243,.321,.450,.772,6,10,R,B.Keller(19),0.25041077883667434,9.0,8,2,2,0,2,6,0,1,5.35,37,144,93,1,0,1,0,34,2,0,0,0,0,0,1,4,Bill Welke,"M.Gonzales (4-58-W), C.Gearrin (0), A.Bass (1), R.Elias (2)",0.2744956772334294,0.4881123919308357,0.33840181171142025,0.8265142036422559,1.4666858955869628,5.110452264205365,0.6374413646055437,0.19281785829828535,7.735794635131238,2.337163248500059,1.73925584078454,SEA,2019
79,79,Jun 20,,BAL,"W,5-2",37,33,5,9,2,0,2,5,4,0,15,0,0,0,0,0,2,0,.244,.322,.451,.773,8,10,R,D.Bundy(45),0.25227272727272726,9.0,4,2,2,0,5,11,0,0,5.31,35,144,87,3,2,1,0,30,0,0,1,0,0,0,1,4,D.J. Reyburn,"T.Scott (2-41), W.LeBlanc (4-W), A.Adams (3-H), R.Elias (0-Sv)",0.2729864575908767,0.4843193157519601,0.33749200255918105,0.8218113183111411,1.4607061503416856,5.076186788154898,0.6370376611340467,0.19417786308381318,7.777619589977221,2.3345255951694166,1.7169703872437359,SEA,2019
80,80,Jun 21,,BAL,"W,10-9",45,37,10,13,3,0,3,10,8,0,7,0,0,0,0,0,2,0,.245,.324,.454,.778,11,11,L,S.Gilmartin(22),0.25088,9.0,14,9,8,1,0,8,0,0,5.34,39,144,99,5,2,0,0,39,4,0,0,0,0,1,3,4,Fieldin Culbreth,"M.Leake (4-18-W), C.Gearrin (1-H), A.Adams (0-H), R.Elias (0-Sv)",0.2741652021089631,0.48400702987697714,0.3377567140600316,0.8217637439370087,1.4619061006466123,5.03013719426483,0.6376425538999417,0.1943127962085308,7.780432949114423,2.3652936425522095,1.6952488051728987,SEA,2019
81,81,Jun 22,,BAL,"L,4-8",38,35,4,7,3,0,1,4,3,0,9,0,0,0,1,0,0,0,.244,.323,.453,.776,7,10,R,A.Cashner(56),0.2507113499841922,9.0,8,8,8,0,7,9,2,0,5.38,41,168,97,0,0,3,1,32,1,0,1,1,1,0,0,5,CB Bucknor,"T.Milone (4-50-L), G.Bautista (3), D.Altavilla (40), J.Biddle (3), M.Festa (3)",0.27389641988182134,0.48383733055265904,0.33811603243917654,0.8219533629918356,1.4644641865630206,5.047703498056635,0.6368114276331992,0.19463505926388022,7.795669072737368,2.336991123927943,1.6990560799555803,SEA,2019
82,82,Jun 23,,BAL,"W,13-3",44,35,13,13,0,0,2,12,5,0,4,2,0,2,1,1,0,0,.246,.325,.454,.779,7,10,R,G.Ynoa(16),0.24851886498285,9.0,7,3,3,0,5,8,1,0,5.35,38,141,87,0,0,0,0,33,4,0,0,0,0,1,2,3,Chris Segal,"Y.Kikuchi (4-48-W), M.Carasiti (99), M.Wright (35)",0.27319587628865977,0.4831615120274914,0.33785450061652283,0.8210160126440142,1.4628461749383055,5.041529476281876,0.6365849699724071,0.19482120838471023,7.798190293391829,2.3234439910297415,1.6904304908143681,SEA,2019
83,83,Jun 25,@,MIL,"W,8-3",46,37,8,12,4,1,1,7,8,0,7,0,1,0,2,1,0,0,.247,.327,.455,.782,11,15,R,Z.Davies(32),0.2471564709498924,9.0,8,3,2,1,2,9,1,0,5.31,39,158,102,2,0,0,0,37,3,0,0,0,0,2,0,5,Sam Holbrook,"M.Gonzales (5-45-W), C.Gearrin (3), A.Adams (3-H), A.Bass (5), M.Festa (2)",0.2724804886325076,0.48184594502884287,0.3368869936034115,0.8187329386322544,1.4585590465872156,5.020608884073673,0.6366987179487179,0.1952482485531526,7.812838569880824,2.3393306813619943,1.682015167930661,SEA,2019
84,84,Jun 26,@,MIL,"W,4-2",39,33,4,8,3,2,0,4,5,0,14,0,1,0,1,0,1,1,.247,.327,.455,.782,8,14,R,A.Houser(37),0.24848116646415552,9.0,5,2,2,0,3,10,2,0,5.27,35,150,92,0,0,0,0,32,0,0,0,0,0,0,0,4,Jim Wolf,"M.Carasiti (2-52), W.LeBlanc (5-W), A.Adams (0-H), R.Elias (4-Sv)",0.27123195703256125,0.48036253776435045,0.3357444243520193,0.8161069621163697,1.4516992239764517,5.018923735616805,0.6364212193190816,0.1962025316455696,7.839175809472839,2.3500956644164472,1.6858442601016859,SEA,2019
85,85,Jun 27,@,MIL,"L,2-4",35,34,2,5,2,0,0,2,1,0,11,0,0,0,2,0,1,0,.246,.325,.453,.778,6,12,R,C.Anderson(61),0.24917342951608054,8.0,9,4,4,0,1,6,1,0,5.26,33,117,85,0,0,0,0,31,2,0,1,1,0,0,1,3,Chad Whitson,"M.Leake (5-44-L), M.Festa (1), D.Altavilla (4)",0.2714285714285714,0.48006644518272423,0.3354222620113399,0.8154887071940642,1.4495631453534552,5.005104050833995,0.6372479799168432,0.19606087735004477,7.827640984908658,2.3632243444480414,1.6799046862589357,SEA,2019
86,86,Jun 28,@,HOU,"L,1-2",39,34,1,5,0,0,1,1,3,0,7,1,1,0,0,0,0,0,.245,.324,.450,.774,8,11,L,W.Miley(62),0.24836601307189543,9.1,9,2,2,0,4,5,2,0,5.22,41,181,108,2,0,1,0,36,1,0,1,1,0,0,0,6,Jerry Meals,"M.Carasiti (1-50), T.Milone (5), C.Gearrin (2-H), A.Adams (1-H), A.Bass (2-BSv), M.Festa (0-L)",0.2711753118844386,0.4796454366382141,0.33520047169811323,0.8148459083363273,1.449313276651406,5.0204094179202094,0.6366800742574258,0.19516509433962265,7.793328973185088,2.3474344881387186,1.683453237410072,SEA,2019
87,87,Jun 29,@,HOU,"L,5-6",42,36,5,7,1,0,3,5,6,0,9,0,0,0,0,0,1,1,.244,.324,.450,.774,7,10,R,J.Verlander(42),0.24794600938967137,9.0,8,6,4,2,4,7,0,1,5.20,41,161,98,0,0,0,0,35,2,0,0,0,1,1,0,4,Tom Woodring,"Y.Kikuchi (5-41), D.Altavilla (1), A.Bass (0), R.Elias (2-L)",0.27069133398247325,0.4774423888347939,0.33498397902709,0.8124263678618839,1.4479638009049773,4.996805429864254,0.6363358545343418,0.1948732886688028,7.78409825468649,2.339079053179959,1.6638655462184875,SEA,2019
88,88,Jun 30,@,HOU,"L,1-6",33,31,1,6,0,0,1,1,2,0,14,0,0,0,0,1,0,1,.244,.323,.449,.772,5,9,R,G.Cole(72),0.24963673350770124,8.0,11,6,4,2,4,6,0,0,5.20,39,154,98,0,0,0,0,35,2,1,1,0,0,1,1,2,Gabe Morales,"M.Gonzales (4-45-L), M.Wright (6)",0.27118100128369704,0.47689345314505777,0.3355414746543779,0.8124349277994356,1.4523352527191298,4.978555342290467,0.6363361776032621,0.19441244239631336,7.773512476007678,2.327505948070756,1.6468330134357005,SEA,2019
89,89,Jul 2,,STL,"W,5-4",38,32,5,8,1,0,2,5,6,1,12,0,0,0,0,0,1,0,.244,.324,.449,.773,9,11,R,J.Flaherty(37),0.25035929864903705,9.0,9,4,4,0,2,8,3,0,5.18,36,157,101,2,0,0,1,34,3,0,0,0,0,0,1,5,Tim Timmons,"M.Carasiti (3-46), W.LeBlanc (5), A.Bass (2-BSv), A.Adams (3-W), R.Elias (2-Sv)",0.27111111111111114,0.4784126984126984,0.3352337514253136,0.813646449838012,1.4497153700189753,4.995151170145478,0.6364179104477612,0.19469783352337514,7.776091081593928,2.33896099448649,1.6622390891840608,SEA,2019
90,90,Jul 3,,STL,"L,2-5",34,31,2,5,0,0,1,1,3,0,14,0,0,0,0,0,1,1,.243,.323,.447,.770,5,10,R,A.Wainwright(54),0.2519214346712212,9.0,9,5,5,0,1,9,1,0,5.18,36,132,92,4,3,0,0,34,1,0,0,0,1,0,1,3,Jeremie Rehak,"M.Leake (5-76), A.Adams (0-L), R.Elias (0-BSv)",0.2710427135678392,0.47738693467336685,0.3346501128668172,0.812037047540184,1.4459036898061288,4.972599124452783,0.6370085722731303,0.19525959367945825,7.789868667917449,2.3616941401317364,1.6547842401500938,SEA,2019
91,91,Jul 4,,STL,"L,4-5",36,33,4,10,1,0,2,4,3,0,6,0,0,0,0,3,0,1,.243,.323,.448,.771,5,10,R,M.Wacha(30),0.2510566356720203,9.0,10,5,5,0,3,8,2,0,5.18,37,126,90,4,2,0,0,34,2,0,1,0,0,0,3,5,Rob Drake,"M.Carasiti (1-53), T.Milone (5-L), M.Festa (5-BSv), C.Gearrin (5), D.Altavilla (4)",0.27128651336233683,0.47793660658794285,0.33482267523038256,0.8127592818183254,1.4458874458874458,4.9765231910946195,0.6377214819153609,0.19547612398771294,7.792207792207792,2.3647849734806257,1.6586270871985158,SEA,2019
92,92,Jul 5,,OAK,"L,2-5",31,30,2,5,0,0,1,2,0,0,8,0,0,1,1,1,1,1,.243,.322,.446,.768,2,10,L,B.Anderson(59),0.2511173184357542,9.0,5,5,4,1,4,8,1,0,5.17,35,141,89,0,0,0,0,30,2,0,0,0,1,0,0,3,Cory Blaser,"Y.Kikuchi (5-63-L), A.Bass (2), D.Altavilla (0)",0.27032019704433496,0.4766009852216749,0.334070796460177,0.8106717816818518,1.4409785932721713,4.968128440366972,0.6376549025291688,0.19579646017699115,7.794495412844037,2.3599213359554683,1.651376146788991,SEA,2019
93,93,Jul 6,,OAK,"W,6-3",34,30,6,7,0,0,2,6,2,0,7,1,0,1,0,0,1,0,.243,.322,.446,.767,4,9,R,C.Bassitt(28),0.2506917542888766,9.0,6,3,3,0,1,7,2,0,5.14,35,121,81,0,0,0,0,33,0,0,0,0,1,1,0,2,Kerwin Danley,"M.Gonzales (5-69-W), R.Elias (2)",0.2694300518134715,0.4754647973178909,0.33278553820870993,0.8082503355266009,1.4337568058076224,4.967176043557169,0.6379310344827587,0.19583675705286224,7.785843920145191,2.3753363675625394,1.6551724137931034,SEA,2019
94,94,Jul 7,,OAK,"L,4-7",37,37,4,11,3,1,2,4,0,0,5,0,0,0,0,0,0,1,.243,.321,.448,.769,6,10,R,D.Mengden(46),0.24952067926595453,9.0,8,7,6,1,3,4,3,0,5.15,38,148,90,2,2,1,0,35,1,0,0,0,0,0,0,4,Ryan Blakney,"M.Carasiti (2-25-L), W.LeBlanc (4), M.Wisler (13), M.Festa (2)",0.2689987937273824,0.4758745476477684,0.33233938736785035,0.8082139350156188,1.4314781567923398,4.996166367444644,0.6376172874609042,0.1949037679587964,7.745062836624776,2.365053781125621,1.6696588868940754,SEA,2019
95,95,Jul 12,@,LAA,"L,0-13",28,27,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,.241,.319,.444,.763,1,10,R,T.Cole(58),0.2497961402555042,8.0,13,13,9,4,7,11,2,1,5.20,47,197,114,6,0,0,0,38,5,0,0,0,0,1,0,7,Paul Nauert,"M.Leake (8-15-L), M.Festa (4), T.Milone (7), M.Wisler (4), C.Gearrin (7), P.Markel (52), D.McKay (42)",0.26982707215265356,0.4776386404293381,0.33386880856760376,0.8115074489969418,1.4416123295791345,5.0089021932424425,0.6368033648790746,0.19539614561027838,7.788974510966212,2.3471914086363785,1.6751630112625964,SEA,2019
96,96,Jul 13,@,LAA,"L,2-9",35,30,2,6,1,1,0,2,4,0,9,0,0,1,0,2,3,0,.241,.319,.443,.761,6,10,R,M.Harvey(57),0.24986537425955843,8.0,12,9,9,0,3,8,3,0,5.25,37,144,90,0,0,2,0,34,1,1,0,0,0,0,1,5,CB Bucknor,"W.LeBlanc (5-23-L), M.Carasiti (5), A.Bass (7), D.McKay (0), R.Elias (6)",0.2706611570247934,0.47992916174734357,0.33457051961823964,0.8144996813655832,1.445684086905461,5.029619495008808,0.6366854049552363,0.19560031804929764,7.800352319436289,2.3502436228145602,1.6911332941867292,SEA,2019
97,97,Jul 14,@,LAA,"L,3-6",37,35,3,10,1,1,2,3,1,0,15,1,0,0,0,0,1,2,.241,.319,.444,.762,7,12,L,J.Suarez(43),0.2513996267661957,8.0,6,6,6,0,7,6,2,0,5.26,37,164,96,4,4,1,0,29,0,0,0,0,1,0,0,5,Ramon De Jesus,"Y.Kikuchi (8-45), M.Carasiti (0), C.Gearrin (1), A.Bass (0-L), R.Elias (0)",0.270119988293825,0.4793678665496049,0.3347335258598057,0.8141013924094106,1.4473531122745782,5.0534415357766145,0.6361078707198243,0.1952755905511811,7.790575916230367,2.3176848073268745,1.6963350785340314,SEA,2019
98,98,Jul 16,@,OAK,"L,2-9",33,33,2,6,3,0,2,2,0,0,3,0,0,0,0,0,0,0,.241,.318,.444,.761,4,9,R,D.Mengden(68),0.25,8.0,12,9,9,0,1,8,2,1,5.30,37,138,92,0,0,1,0,35,4,0,0,0,0,0,1,3,Brian O'Nora,"M.Gonzales (9-38-L), M.Wisler (3), S.Tuivailala (99)",0.27085747392815757,0.48088064889918886,0.33515340613624545,0.8160340550354344,1.448991354466859,5.051463976945245,0.6363945347019238,0.19547699506108657,7.801729106628242,2.335331200894382,1.7014409221902018,SEA,2019
99,99,Jul 17,@,OAK,"L,2-10",36,34,2,8,1,2,0,2,2,0,9,0,0,0,0,1,1,0,.241,.317,.443,.760,7,9,R,H.Bailey(56),0.25,8.0,10,10,10,0,4,4,6,0,5.36,37,152,100,2,0,0,0,33,2,0,0,0,0,0,1,4,Mark Ripperger,"E.Swanson (61-45), T.Milone (4-L), C.Gearrin (2), M.Festa (4)",0.27116212338593976,0.48493543758967,0.33556528457378315,0.8205007221634532,1.451741861793261,5.1283346659051965,0.6366144116261858,0.19464469618949537,7.771559109080526,2.3189472715560875,1.7475728155339805,SEA,2019
100,100,Jul 19,,LAA,"W,10-0",39,34,10,12,3,0,2,10,5,0,9,0,0,0,0,0,1,0,.242,.319,.445,.763,5,11,R,T.Cole(55),0.24980564913189945,9.0,1,0,0,0,1,6,0,0,5.30,29,98,66,,,0,0,28,0,0,0,0,0,0,0,1,Vic Carapazza,M.Leake (6-90-W),0.26928551095929404,0.4813549672644463,0.33358895705521474,0.814943924319661,1.439231204070096,5.098680610514415,0.636855825145378,0.19473549706107846,7.753533069530809,2.330203969297575,1.7297908422837762,SEA,2019
101,101,Jul 20,,LAA,"L,2-6",34,28,2,5,0,0,0,2,2,0,10,1,2,1,1,1,1,0,.241,.318,.443,.761,5,10,R,G.Canning(56),0.2501926534806062,9.0,8,6,2,4,5,9,1,0,5.27,40,184,114,1,0,2,0,35,1,0,0,0,0,1,1,6,Jordan Baker,"M.Wisler (3-53), W.LeBlanc (6), S.Tuivailala (3), A.Bass (5), R.Elias (5-L), M.Carasiti (5)",0.2688838782412627,0.47998872604284104,0.333502024291498,0.813490750334339,1.4392837157246783,5.090888640179071,0.6366457576758006,0.1950417404502909,7.766088416340235,2.322219210264751,1.7224398433128147,SEA,2019
102,102,Jul 21,,LAA,"L,3-9",42,37,3,12,2,0,0,2,5,0,10,0,0,0,0,1,0,1,.242,.319,.442,.761,12,11,L,D.Peters(61),0.2500635324015248,9.0,12,9,9,0,1,9,4,0,5.31,39,131,90,0,0,0,0,37,3,1,0,0,1,0,0,3,Marvin Hudson,"Y.Kikuchi (6-23-L), E.Swanson (3), M.Festa (3)",0.2694560669456067,0.4831241283124128,0.33350037584565273,0.8166245041580655,1.4393351800554017,5.113168975069252,0.6370777690494894,0.19539078156312625,7.778393351800554,2.3422720038437284,1.745152354570637,SEA,2019
103,103,Jul 22,,TEX,"W,7-3",37,34,7,11,2,0,2,7,2,0,9,1,0,0,0,1,0,0,.243,.319,.443,.763,6,11,R,A.Sampson(30),0.25,9.0,9,3,3,0,1,7,1,1,5.29,38,138,100,2,0,0,0,36,1,0,0,0,0,0,0,4,Will Little,"M.Gonzales (5-59-W), A.Bass (1), C.Gearrin (4), R.Elias (1-Sv)",0.26926263463131733,0.4819110742888705,0.3330851327872921,0.8149962070761626,1.4360943499725727,5.096611080636314,0.6378616841832101,0.19528535980148884,7.770707624794295,2.3562168797341396,1.7377948436642896,SEA,2019
104,104,Jul 23,,TEX,"L,2-7",35,34,2,7,2,0,0,2,1,0,10,0,0,0,0,0,0,0,.243,.319,.441,.760,6,10,L,B.Martin(46),0.2503119540803594,9.0,10,7,7,0,0,6,4,0,5.30,37,130,91,0,0,1,0,36,1,0,0,0,1,0,0,3,Joe West,"T.Milone (5-35-L), M.Carasiti (2), M.Magill (5)",0.2693464588460487,0.4834563850150396,0.3325135268076734,0.8159699118227131,1.4329168929929386,5.121658881042912,0.6383813690169841,0.19498401770346693,7.753394894079305,2.374180413760067,1.7599130907115699,SEA,2019
105,105,Jul 24,,TEX,"W,5-3",33,31,5,8,0,0,2,4,2,0,8,0,0,0,0,0,0,1,.243,.319,.441,.760,4,11,L,M.Minor(42),0.25024752475247525,9.0,9,3,3,0,0,9,1,0,5.28,35,117,88,0,0,0,0,35,1,1,0,0,0,0,1,3,Andy Fletcher,"M.Leake (4-54-W), A.Bass (1-H), R.Elias (1-Sv)",0.2692307692307692,0.48293607800650057,0.3318702755425506,0.8148063535490512,1.4287251210328133,5.097808499193114,0.6392312112891897,0.1955143832276938,7.765465303926843,2.401125714798958,1.7525551371705217,SEA,2019
106,106,Jul 25,,DET,"W,10-2",41,33,10,9,4,1,2,10,7,0,11,1,0,0,1,1,2,0,.243,.319,.443,.763,7,10,R,D.VerHagen(24),0.2504288164665523,9.0,5,2,1,1,2,8,1,0,5.24,35,138,93,0,0,1,0,33,0,0,0,0,0,1,1,3,Ted Barrett,"E.Swanson (3-58), W.LeBlanc (4-W), S.Tuivailala (4)",0.26818791946308723,0.48080536912751676,0.3307543520309478,0.8115597211584645,1.4224826851358552,5.0829397975492805,0.639534147730869,0.19579405366207397,7.767714437932872,2.4106425404005836,1.745338305807139,SEA,2019
107,107,Jul 26,,DET,"W,3-2",37,32,3,8,2,0,1,3,3,1,9,1,1,0,0,0,1,1,.243,.320,.443,.763,8,11,L,D.Norris(62),0.25036425449247207,9.0,8,2,2,0,0,9,2,0,5.21,33,120,84,1,0,0,0,33,0,1,0,0,0,0,1,4,Lance Barksdale,"Y.Kikuchi (4-56), M.Wisler (5), A.Bass (1), R.Elias (1-W)",0.26796168174560936,0.48084087280468335,0.330055169105301,0.8108960419099844,1.4174142480211083,5.073630606860158,0.6399899491174069,0.19640287769784173,7.779419525065963,2.4374274575161454,1.7477572559366754,SEA,2019
108,108,Jul 27,,DET,"W,8-1",44,39,8,16,5,1,0,8,4,1,16,1,0,0,0,1,0,0,.245,.321,.444,.766,12,10,L,T.Alexander(39),0.25156174915905816,9.0,7,1,1,0,1,10,0,0,5.17,34,138,93,0,0,0,0,33,1,0,0,0,0,1,2,3,Kerwin Danley,"M.Gonzales (4-69-W), M.Magill (3), M.Carasiti (3)",0.2674756001055131,0.4787654972302822,0.32928860337853916,0.8080541006088213,1.4124411918452693,5.038359644537376,0.6402814971663449,0.1971931493815414,7.800313643491897,2.4598676597133617,1.731312075274438,SEA,2019
109,109,Jul 28,,DET,"W,3-2",38,34,3,6,2,0,1,3,4,0,14,0,0,0,0,0,0,0,.244,.321,.443,.764,7,12,L,M.Boyd(70),0.25261904761904763,10.0,7,2,2,0,1,9,1,0,5.13,37,125,92,0,0,0,1,36,2,0,0,0,0,1,1,5,John Tumpane,"M.Wisler (1-58), T.Milone (4), H.Strickland (99), A.Bass (1), R.Elias (1-W)",0.2667886072641756,0.4773974392474523,0.3283018867924528,0.8056993260399051,1.4061045007759958,5.017414381789964,0.6410208874057595,0.19759490686158926,7.803414381789964,2.4792165912251116,1.7227108122090016,SEA,2019
110,110,Jul 30,@,TEX,"W,8-5",46,42,8,13,3,1,2,8,4,0,11,0,0,0,2,0,4,0,.245,.321,.445,.766,11,11,R,A.Jurado(35),0.2524729156853509,9.0,14,5,3,2,0,4,1,1,5.11,40,140,96,1,0,0,1,39,2,0,0,0,0,1,2,4,Mark Carlson,"M.Leake (5-35), S.Tuivailala (4-W), A.Bass (1-H), R.Elias (1-Sv)",0.26771857216761513,0.47749612002069325,0.32873831775700935,0.8062344377777027,1.4074833418759611,5.005901588928754,0.6414042396765103,0.19668301798645177,7.76832393644285,2.4910505606343007,1.7160430548436698,SEA,2019
111,111,Jul 31,@,TEX,"L,7-9",42,38,7,12,1,0,2,7,3,0,10,1,0,0,0,1,2,0,.246,.322,.445,.767,8,11,L,M.Minor(35),0.2523320895522388,8.0,16,9,8,1,3,9,2,0,5.15,43,152,94,2,0,1,0,40,4,0,1,0,0,0,0,4,Mike Muchlinski,"W.LeBlanc (5-20-L), C.Gearrin (8), M.Magill (3), E.Swanson (5)",0.26907322068612394,0.4792626728110599,0.32986352070321534,0.8091261935142753,1.4153533299440773,5.0086110828673105,0.6411921816195216,0.19680851063829788,7.787493645144891,2.4955279903815137,1.7203863751906456,SEA,2019
112,112,Aug 2,@,HOU,"L,2-10",38,30,2,3,0,0,1,2,8,0,10,0,0,0,0,0,0,0,.245,.322,.443,.765,9,9,L,W.Miley(59),0.2524271844660194,8.0,12,10,10,0,4,4,6,0,5.20,39,156,95,0,0,0,0,35,0,1,0,0,0,0,1,4,Jeff Nelson,"Y.Kikuchi (6-21-L), R.McClain (99), C.Gearrin (1), Z.Grotz (99)",0.26972849530576,0.48312611012433393,0.3305823016964695,0.8137084118208034,1.4200706001008574,5.076834089762985,0.6408899579073962,0.19596607838643135,7.7609682299546146,2.4781890379988987,1.7609682299546143,SEA,2019
113,113,Aug 3,@,HOU,"L,0-9",31,26,0,0,0,0,0,0,4,0,8,1,0,0,0,1,1,0,.243,.320,.440,.761,4,9,R,A.Sanchez(76),0.2524672940096397,8.0,15,9,7,2,2,6,1,0,5.22,42,180,119,0,0,0,0,40,5,1,0,0,0,1,0,3,Jim Wolf,"M.Gonzales (6-35-L), M.Wisler (5), G.Bautista (41)",0.2707862346144185,0.4845516201959307,0.3312897366030881,0.8158413567990188,1.4257128564282142,5.068927463731866,0.641106484235574,0.19545970488081726,7.7528764382191095,2.481196507305265,1.7558779389694847,SEA,2019
114,114,Aug 4,@,HOU,"L,1-3",33,31,1,4,0,1,1,1,2,0,15,0,0,0,0,0,0,0,.242,.319,.439,.759,5,9,R,J.Verlander(70),0.2539863325740319,8.0,5,3,3,0,3,8,0,0,5.20,32,139,88,2,0,1,0,27,2,0,0,0,2,1,1,4,Nick Mahrley,"S.Tuivailala (4-51), T.Milone (6-L), M.Magill (3), A.Bass (4)",0.27020958083832336,0.48303393213572854,0.3307033363390442,0.8137372684747728,1.422332506203474,5.047250620347395,0.6410407693669243,0.19585305386522425,7.762779156327543,2.482786206108397,1.7419354838709677,SEA,2019
115,115,Aug 6,,SDP,"L,4-9",37,32,4,6,1,0,1,3,5,0,15,0,0,0,0,1,2,0,.242,.319,.438,.757,6,10,R,D.Lamet(81),0.25525186356449064,9.0,9,9,9,0,2,9,3,1,5.24,39,152,96,0,0,1,0,35,1,0,0,1,0,0,0,4,Mark Wegner,"M.Wisler (2-53), W.LeBlanc (5-L), E.Swanson (5), Z.Grotz (3)",0.27009646302250806,0.48355181795696267,0.3305027932960894,0.814054611253052,1.4205607476635513,5.057580914904083,0.6409566692006315,0.1961572832886506,7.773733398917855,2.4942473225192465,1.7530742744712249,SEA,2019
116,116,Aug 7,,SDP,"W,3-2",32,30,3,7,1,1,1,3,1,0,11,0,1,0,0,0,1,0,.241,.319,.438,.757,5,11,L,J.Lucchesi(57),0.25588697017268447,9.0,8,2,2,0,3,13,2,0,5.21,37,157,96,0,0,0,0,34,1,0,0,0,0,0,1,5,Jim Reynolds,"Y.Kikuchi (4-60), B.Brennan (54-BSv), S.Tuivailala (2), M.Magill (2-W), A.Bass (2-Sv)",0.26980623007113075,0.4831984302182978,0.33023049645390073,0.8134289266721986,1.4188200877620674,5.05017747440273,0.6406883764051454,0.1974296476844671,7.819600195026816,2.5097884566631925,1.7552413456850318,SEA,2019
117,117,Aug 9,,TBR,"L,3-5",38,35,3,10,1,0,1,3,3,0,15,0,0,0,0,0,0,2,.242,.319,.438,.757,8,11,L,J.Beeks(43),0.2570602623971537,9.0,8,5,4,1,5,10,0,0,5.20,40,137,88,0,0,0,0,34,1,0,1,1,0,1,1,4,Chris Conroy,"M.Gonzales (5-58), C.Gearrin (6), M.Magill (1), A.Bass (1-L)",0.2695207978594016,0.4813913889564583,0.33018453427065025,0.8115759232271085,1.4190430159497343,5.029369743837602,0.6407013509629204,0.1978915001098177,7.838569357177381,2.5027082581039415,1.7399710004833253,SEA,2019
118,118,Aug 10,,TBR,"L,4-5",36,34,4,9,1,1,1,4,1,0,15,0,0,1,0,1,0,0,.242,.319,.438,.757,5,10,R,C.Morton(48),0.2583278182219281,9.0,8,5,5,0,0,3,3,0,5.19,35,130,90,0,0,1,0,35,1,0,0,0,0,0,0,3,Chad Whitson,"M.Wisler (3-55), T.Milone (5-L), R.McClain (7)",0.2691751085383502,0.4816690786300048,0.32940919991279705,0.8110782785428019,1.4144705318639195,5.045336847149017,0.6410841654778887,0.1970357454228422,7.796837565884044,2.511041359962223,1.7508385241974125,SEA,2019
