Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
32,32,May 4,,HOU,"L,0-8",29,28,0,1,1,0,0,0,1,0,16,0,0,0,0,0,0,0,.229,.308,.404,.713,2,11,R,G.Cole(100),0.2570951585976628,9.0,14,8,8,0,4,8,0,0,3.12,45,167,101,1,0,0,0,41,6,0,0,0,0,0,0,3,Dan Iassogna,"K.Medlen (99-16-L), T.McFarland (1), D.Descalso (99)",0.22013170272812793,0.34524929444967073,0.2872788542544229,0.6325281487040937,1.137066300240467,3.288104087942288,0.6312355293622395,0.2603201347935973,9.553418069391961,3.185238635192248,0.8656818962555822,ARI,2018
33,33,May 5,,HOU,"W,4-3",40,30,4,6,2,0,1,4,8,0,7,1,0,1,0,0,1,0,.228,.311,.403,.714,10,17,R,C.Morton(48),0.2544426494345719,9.0,7,3,3,0,6,7,1,0,3.12,40,161,100,2,0,0,0,34,2,0,0,0,0,0,0,5,Mike DiMuro,"Z.Greinke (4-58), A.Chafin (1), A.Bradley (3-H), Y.Hirano (4-BSv), B.Boxberger (3-W)",0.21969006381039197,0.3454876937101185,0.2885085574572127,0.6339962511673312,1.1462845718093968,3.3409400199933357,0.6309039087947883,0.2575387123064385,9.476841052982339,3.0676633336569266,0.8697100966344551,ARI,2018
34,34,May 6,,HOU,"W,3-1",31,27,3,5,1,1,0,2,3,0,10,0,1,0,0,0,0,0,.227,.310,.401,.710,4,15,R,J.Verlander(65),0.256107171000788,9.0,7,1,1,0,2,7,1,1,3.05,37,133,83,3,0,0,0,34,1,1,0,0,0,1,1,5,Roberto Ortiz,"M.Koch (4-60-W), J.De La Rosa (2), Y.Hirano (0-H), A.Bradley (0-H), B.Boxberger (0-Sv)",0.21927497789566755,0.34659593280282935,0.2879746835443038,0.6345706163471332,1.1420252345519248,3.3518767389194437,0.6307234886025768,0.2555379746835443,9.404723390488515,3.0758975335682313,0.8735037204788094,ARI,2018
35,35,May 8,@,LAD,"W,8-5",51,45,8,12,1,0,4,8,5,0,11,0,1,0,0,0,0,1,.228,.311,.407,.717,7,21,L,R.Hill(31),0.2545454545454545,12.0,9,5,5,0,7,11,2,1,3.08,52,213,127,5,0,0,0,43,2,0,1,1,0,0,1,9,Chris Guccione,"Z.Godley (5-41), F.Salas (4-H), J.De La Rosa (1-H), A.Bradley (1-H), B.Boxberger (1-BSv), A.Chafin (2), Y.Hirano (1), S.Bracho (4), T.McFarland (3-W)",0.21890971039182283,0.348381601362862,0.28951367781155013,0.6378952791744121,1.1491747119277482,3.4226007474307067,0.6293267402054012,0.25379939209726443,9.361569604484584,2.981876618159093,0.8969168483338523,ARI,2018
36,36,May 9,@,LAD,"L,3-6",39,34,3,8,1,0,1,3,5,0,7,0,0,0,0,1,0,0,.228,.311,.405,.716,9,15,L,A.Wood(54),0.2523914643119941,8.0,8,6,6,0,6,10,0,1,3.17,38,175,98,5,2,1,0,30,1,0,0,0,1,0,0,5,David Rackley,"P.Corbin (5-60), F.Salas (0-L), A.Chafin (0), S.Bracho (0), J.De La Rosa (0)",0.22009966777408638,0.34717607973421927,0.29246676514032494,0.6396428448745441,1.1637800060771801,3.410164387724096,0.6270936867292471,0.25406203840472674,9.407474931631722,2.9150072027794254,0.8751139471285323,ARI,2018
37,37,May 10,,WSN,"L,1-2",43,40,1,8,1,0,0,1,2,0,9,1,0,0,0,0,2,1,.228,.310,.399,.709,9,18,R,T.Roark(69),0.25106990014265335,11.0,9,2,2,0,1,6,0,0,3.12,42,159,108,4,2,0,0,40,3,0,0,1,0,0,1,7,Mark Ripperger,"Z.Greinke (4-71), A.Bradley (1-BSv), B.Boxberger (1), Y.Hirano (1), F.Salas (0-L), A.Chafin (0), S.Bracho (0)",0.2202572347266881,0.34565916398713825,0.29083094555873923,0.6364901095458775,1.1555424875036753,3.375642752131726,0.6285765379113019,0.2507163323782235,9.261981770067626,2.9409293336694393,0.8468097618347544,ARI,2018
38,38,May 11,,WSN,"L,1-3",32,32,1,5,0,1,1,1,0,0,14,0,0,0,0,0,0,0,.226,.306,.397,.703,4,13,R,M.Scherzer(76),0.25523012552301255,9.0,7,3,3,0,1,4,2,1,3.12,35,105,74,0,0,0,0,33,3,0,0,0,0,0,1,2,Joe West,"M.Koch (4-58-L), J.Barrett (99)",0.22004698512137824,0.34925606891151134,0.29000698812019565,0.639263057031707,1.1486680034374104,3.430263821254655,0.629980691592066,0.24737945492662475,9.126324835290747,2.9497541871510706,0.8765396734460039,ARI,2018
39,39,May 12,,WSN,"L,1-2",36,32,1,5,1,0,0,1,2,0,12,1,1,0,1,0,0,0,.224,.304,.392,.696,8,16,R,S.Strasburg(68),0.2571428571428571,9.0,7,2,2,0,7,7,0,0,3.09,40,167,102,2,0,0,1,32,1,0,0,1,0,0,0,5,Doug Eddings,"T.Scribner (99-43-L), J.De La Rosa (2), T.McFarland (3), Y.Hirano (1), A.Chafin (1)",0.22001527883880825,0.346829640947288,0.29163834126444593,0.638467982211734,1.158894163641441,3.4430441217537,0.6294338335607094,0.24541128484024474,9.072884669086847,2.8422958822139988,0.8545099134320022,ARI,2018
40,40,May 13,,WSN,"L,4-6",37,35,4,9,2,1,0,4,1,0,12,0,1,0,1,0,1,0,.225,.304,.391,.695,6,15,R,J.Hellickson(61),0.258792302587923,9.0,9,6,6,0,2,8,4,0,3.16,38,147,92,0,0,1,0,36,2,0,0,0,0,0,0,4,Marty Foster,"Z.Godley (4-48), J.De La Rosa (0), A.Bradley (2-L), J.Sherfy (99)",0.220817843866171,0.3546468401486989,0.291583830351226,0.6462306704999249,1.1604467447561972,3.5505396349768454,0.6293461986358343,0.24453280318091453,9.046581312993734,2.860243391985118,0.9316262598746935,ARI,2018
41,41,May 14,,MIL,"L,2-7",36,31,2,5,1,0,0,2,4,0,6,0,0,1,0,0,0,0,.223,.302,.387,.689,7,16,R,J.Guerra(57),0.2566429034348671,9.0,10,7,7,0,2,12,2,0,3.25,39,158,97,6,2,3,0,36,2,0,0,0,1,0,0,5,Todd Tichenor,"P.Corbin (4-51-L), Y.Hirano (1), A.Chafin (1), J.Sherfy (0), F.Salas (3)",0.222302679217958,0.3584359160028964,0.29198966408268734,0.6504255800855838,1.1645838872640255,3.5624889657006116,0.628951207651159,0.24612403100775193,9.117256048923158,2.9081749484772157,0.9571922361074182,ARI,2018
